Index_Type,Vector_Dimensions,Distance_Metric,Shard_Count,Build_Time_Sec,Memory_Usage_MB,Query_Latency_MS,Recall_At_K,QPS
HNSW_Graph,100,Cosine,1,0.0211,7.61,0.0573,1.0,17452.49
HNSW_Graph,100,L2,1,0.017,7.26,0.0424,1.0,23583.51
HNSW_Graph,100,Ip,1,0.018,3.23,0.051,1.0,19617.79
IVF_PQ_Quantized,100,Cosine,1,0.0138,0.38,0.0808,0.92,12380.24
IVF_PQ_Quantized,100,L2,1,0.0091,0.38,0.0756,0.92,13228.3
IVF_PQ_Quantized,100,Ip,1,0.009,0.38,0.0865,0.92,11563.86
Flat,100,Cosine,1,0.0011,0.85,0.0157,1.0,63886.92
Flat,100,L2,1,0.0,0.85,0.0158,1.0,63392.54
Flat,100,Ip,1,0.0014,0.85,0.0092,1.0,108256.87
HNSW_Graph,128,Cosine,1,0.0299,3.23,0.0724,1.0,13821.54
HNSW_Graph,128,L2,1,0.02,8.91,0.0597,1.0,16744.05
HNSW_Graph,128,Ip,1,0.021,3.23,0.0594,1.0,16848.21
IVF_PQ_Quantized,128,Cosine,1,0.0131,0.38,0.1014,0.92,9861.53
IVF_PQ_Quantized,128,L2,1,0.013,1.16,0.1166,0.92,8577.72
IVF_PQ_Quantized,128,Ip,1,0.016,0.38,0.1131,0.92,8838.52
Flat,128,Cosine,1,0.0,0.85,0.0176,1.0,56858.04
Flat,128,L2,1,0.0,0.85,0.0158,1.0,63350.41
Flat,128,Ip,1,0.0013,0.85,0.0151,1.0,66348.77
HNSW_Graph,300,Cosine,1,0.0625,3.23,0.1432,1.0,6980.97
HNSW_Graph,300,L2,1,0.048,21.85,0.1789,1.0,5589.38
HNSW_Graph,300,Ip,1,0.0714,3.23,0.1687,1.0,5926.41
IVF_PQ_Quantized,300,Cosine,1,0.036,2.71,0.3499,0.92,2858.1
IVF_PQ_Quantized,300,L2,1,0.032,0.38,0.3694,0.92,2706.89
IVF_PQ_Quantized,300,Ip,1,0.0364,0.38,0.3093,0.92,3232.96
Flat,300,Cosine,1,0.0023,0.85,0.037,1.0,26991.76
Flat,300,L2,1,0.001,0.85,0.032,1.0,31243.88
Flat,300,Ip,1,0.0014,0.85,0.0418,1.0,23914.43
